"ALARM_ID","ALARM_NAME","ALARM_COLUMN","ALARM_CONDITION","ALARM_SQL","ALARM_EMAIL","CREATE_AT","STAT","OWNER"
"61","9F1授信模型最大逾期大于30天日拒绝量大于3日监控","cnt_total","cnt_total>3","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_9F1
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   credit_result = 'Decline'
and   credit_reason = 'defualt days over 30d'","table_dq_alarm","2019/2/22","1","lily"
"60","9F1授信模型当前逾期限制日拒绝量大于1日监控","cnt_total","cnt_total>1","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_9F1
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   credit_result = 'Decline'
and   credit_reason = 'current defualt'","table_dq_alarm","2019/2/22","1","lily"
"59","9F1重复调用授信接口限制日拒绝量大于1日监控","cnt_total","cnt_total>1","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_9F1
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   credit_result = 'Decline'
and   credit_reason = 'already have quota'","table_dq_alarm","2019/2/22","1","lily"
"40","9F1 进件新客户（非9F授信客户）日监控","cnt_total","cnt_total>0","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_9F1
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   old_flag = 0","table_dq_alarm","2019/2/14","1","lily"
"41","22C潭州网校进件占比（日监控）","ratio_","ratio_>0.8","select sum(case when store_id = 230 then 1 else 0 end)/count(1) as ratio_
  from bi_ods.extu_ztjh_user_info
 where trunc(raw_add_time) < trunc(sysdate)
   and trunc(raw_add_time) >= trunc(sysdate - 1)","table_dq_alarm_LZ","2019/2/14","1","lizhen"
"58","24A 放款总额度限制日拒绝量大于1日监控","cnt_total","cnt_total>1","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_24A
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   credit_result = 'Decline'
and   credit_reason = 'funding amount limit'","table_dq_alarm","2019/2/22","1","lily"
"57","24A 手机三要素限制日拒绝量大于3日监控","cnt_total","cnt_total>3","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_24A
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   credit_result = 'Decline'
and   credit_reason = 'phone element3'","table_dq_alarm","2019/2/22","1","lily"
"56","24A 放款个数限制日拒绝量大于1日监控","cnt_total","cnt_total>1","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_24A
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   credit_result = 'Decline'
and   credit_reason = 'approve limit'","table_dq_alarm","2019/2/22","1","lily"
"55","24A 申请金额限制日拒绝量大于1日监控","cnt_total","cnt_total>1","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_24A
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   credit_result = 'Decline'
and   credit_reason = 'loan amount limit'","table_dq_alarm","2019/2/22","1","lily"
"54","24A 银行卡三要素日拒绝量大于3日监控","cnt_total","cnt_total>3","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_24A
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   credit_result = 'Decline'
and   credit_reason = 'bank element3'","table_dq_alarm","2019/2/22","1","lily"
"53","24A 人脸识别日拒绝量大于3日监控","cnt_total","cnt_total>3","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_24A
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   credit_result = 'Decline'
and   credit_reason = 'face not real'","table_dq_alarm","2019/2/22","1","lily"
"52","24A id5日拒绝量大于3日监控","cnt_total","cnt_total>3","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_24A
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   credit_result = 'Decline'
and   credit_reason = 'id5'","table_dq_alarm","2019/2/22","1","lily"
"51","24A 学生日拒绝量大于3日监控","cnt_total","cnt_total>3","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_24A
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   credit_result = 'Decline'
and   credit_reason = 'student limit'","table_dq_alarm","2019/2/22","1","lily"
"50","24A 同盾一个月多头日拒绝量大于3日监控","cnt_total","cnt_total>3","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_24A
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   credit_result = 'Decline'
and   credit_reason = 'pltf_cnt_1m limit'","table_dq_alarm","2019/2/22","1","lily"
"49","24A 蜜罐多头日拒绝量大于3日监控","cnt_total","cnt_total>3","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_24A
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   credit_result = 'Decline'
and   credit_reason = 'searched_org_cnt limit'","table_dq_alarm","2019/2/22","1","lily"
"48","24A 手机在网时长日拒绝量大于3日监控","cnt_total","cnt_total>3","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_24A
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   credit_result = 'Decline'
and   credit_reason = 'bad phone' ","table_dq_alarm","2019/2/22","1","lily"
"47","24A 黑名单日拒绝量大于3日监控","cnt_total","cnt_total>3","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_24A
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   credit_result = 'Decline'
and   credit_reason = 'hit black list' ","table_dq_alarm","2019/2/22","1","lily"
"46","24A 同盾严重逾期日拒绝量大于3日监控","cnt_total","cnt_total>3","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_24A
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   credit_result = 'Decline'
and   credit_reason = 'hit tongdun default list'","table_dq_alarm","2019/2/22","1","lily"
"71","9F1提现模型同盾严重逾期限制日拒绝量大于3日监控","cnt_total","cnt_total>3","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_9F1_LOAN
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   credit_result in ('Frozen','Forever Frozen')
and   credit_reason = 'hit tongdun default list' ","table_dq_alarm","2019/2/22","1","lily"
"73","9F1提现模型内部多头限制日拒绝量大于1日监控","cnt_total","cnt_total>1","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_9F1_LOAN
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   credit_result in ('Frozen','Forever Frozen')
and   credit_reason = 'inner duotou' ","table_dq_alarm","2019/2/22","1","lily"
"72","9F1提现模型黑名单限制日拒绝量大于3日监控","cnt_total","cnt_total>3","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_9F1_LOAN
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)
and   credit_result in ('Frozen','Forever Frozen')
and   credit_reason = 'hit black list' ","table_dq_alarm","2019/2/22","1","lily"
"38","9F1 national_id字段异常日监控","alarm_flag","alarm_flag=1","select case when count(*)>0 then 1 else 0 end as alarm_flag
from BI_ODS.EXTU_KH_USER_INFO_NEW
WHERE TRUNC(raw_update_time) < TRUNC(SYSDATE)
and   TRUNC(raw_update_time) >= TRUNC(SYSDATE - 1)
and   length(national_id) !=18","table_dq_alarm","2019/2/13","1","lily"
"37","9F1 source_type字段异常日监控","alarm_flag","alarm_flag=1","select case when count(*)>0 then 1 else 0 end as alarm_flag
from BI_ODS.EXTU_KH_USER_INFO_NEW
WHERE TRUNC(raw_update_time) < TRUNC(SYSDATE)
and   TRUNC(raw_update_time) >= TRUNC(SYSDATE - 1)
and   source_type not in ('1','5')","table_dq_alarm","2019/2/13","1","lily"
"36","9F1 highest_education字段异常日监控","alarm_flag","alarm_flag=1","select case when count(*)>0 then 1 else 0 end as alarm_flag
from BI_ODS.EXTU_KH_USER_INFO_NEW
WHERE TRUNC(raw_update_time) < TRUNC(SYSDATE)
and   TRUNC(raw_update_time) >= TRUNC(SYSDATE - 1)
and   highest_education not in ('10','20','30','40','50','60','70','80','90','99')","table_dq_alarm","2019/2/13","1","lily"
"35","9F1 年龄24岁以下进件占比周监控","ratio","ratio>0.05","select (sum(case when  tb.age <24 then 1 else 0 end)+1)/(count(*)+1) as ratio 
from 
(
    select national_id,(to_char(sysdate, 'yyyy') - substr(national_id, 7, 4)) as age
    from BI_ODS.EXTU_KH_USER_INFO_NEW
    WHERE TRUNC(raw_update_time) < TRUNC(SYSDATE)
    and   TRUNC(raw_update_time) >= TRUNC(SYSDATE - 7)
)tb","table_dq_alarm","2019/2/13","1","lily"
"34","9F1 高中及以下学历进件占比周监控","ratio","ratio>0.5","select (cnt_edu+1)/(cnt_total+1) as ratio 
from 
(
    select sum(case when  highest_education in ('60','70','80','90','99') then 1 else 0 end) as cnt_edu
	       ,count(*) as cnt_total
    from BI_ODS.EXTU_KH_USER_INFO_NEW
    WHERE TRUNC(raw_update_time) < TRUNC(SYSDATE)
    and   TRUNC(raw_update_time) >= TRUNC(SYSDATE - 7)
)tb","table_dq_alarm","2019/2/13","1","lily"
"33","9F1提现模型进件量日监控","cnt_total","cnt_total>100 or cnt_total=0","select count(*) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_9F1_LOAN
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)","table_dq_alarm","2019/2/13","1","lily"
"32","9F1授信模型进件量日监控","cnt_total","cnt_total>100 or cnt_total=0","select count(distinct account_id) as cnt_total
from BI_ODS.LLI_CREDIT_RESULTS_9F1
WHERE TRUNC(created_at) < TRUNC(SYSDATE)
and   TRUNC(created_at) >= TRUNC(SYSDATE - 1)","table_dq_alarm","2019/2/13","1","lily"
"31","9F1 提现模型通过率周监控","ratio","ratio<0.5","select (tb.cnt_approve+1)/(tb.cnt_total+1) as ratio
from 
(
    select count(distinct case when credit_result = 'Approve' then  loan_number end) as cnt_approve
           ,count(distinct case when credit_result = 'Decline' then loan_number end) as cnt_decline
           ,count(distinct loan_number) as cnt_total
    from BI_ODS.LLI_CREDIT_RESULTS_9F1_LOAN
    WHERE TRUNC(created_at) < TRUNC(SYSDATE)
    and   TRUNC(created_at) >= TRUNC(SYSDATE - 7)

)tb","table_dq_alarm","2019/2/13","1","lily"
"30","9F1授信模型通过率周监控","ratio","ratio<0.5 or ratio>0.9","select (tb.cnt_approve+1)/(tb.cnt_total+1) as ratio
from 
(
    select count(distinct case when credit_result = 'Approve' then account_id  end) as cnt_approve
           ,count(distinct case when credit_result = 'Decline' then account_id  end) as cnt_decline
           ,count(distinct account_id ) as cnt_total
    from BI_ODS.LLI_CREDIT_RESULTS_9F1
    WHERE TRUNC(created_at) < TRUNC(SYSDATE)
    and   TRUNC(created_at) >= TRUNC(SYSDATE - 7)

)tb","table_dq_alarm","2019/2/13","1","lily"
"29","24A 老客户进件order表无记录日监控","alarm_flag","alarm_flag=1","select case when count(*)>0 then 1 else 0 end as alarm_flag
from 
(
    select  t1.national_id
    from BI_ODS.EXTU_XYF_USER_INFO t1
    left join (select * from BI_ODS.EXTU_XYF_LOAN_HISTORY_ORDER where TRUNC(create_time) <= TRUNC(SYSDATE- 1))t2
    on t1.national_id = t2.id_card_number
    WHERE TRUNC(t1.update_at) < TRUNC(SYSDATE)
    and   TRUNC(t1.update_at) >= TRUNC(SYSDATE - 1)
    and   t1.is_new_customer =0
    and   t2.id_card_number is null 
)tb","table_dq_alarm","2019/2/13","1","lily"
"28","24A national_id字段异常日监控","alarm_flag","alarm_flag=1","select case when count(*)>0 then 1 else 0 end as alarm_flag
from BI_ODS.EXTU_XYF_USER_INFO
WHERE TRUNC(update_at) < TRUNC(SYSDATE)
and   TRUNC(update_at) >= TRUNC(SYSDATE - 1)
and   length(national_id) !=18","table_dq_alarm","2019/2/13","1","lily"
"27","24A ip字段异常日监控","alarm_flag","alarm_flag=1","select case when count(*)>0 then 1 else 0 end as alarm_flag
from BI_ODS.EXTU_XYF_USER_INFO
WHERE TRUNC(update_at) < TRUNC(SYSDATE)
and   TRUNC(update_at) >= TRUNC(SYSDATE - 1)
and   ip is null ","table_dq_alarm","2019/2/13","1","lily"
"26","24A flight_credit字段异常日监控","alarm_flag","alarm_flag=1","select case when count(*)>0 then 1 else 0 end as alarm_flag
from BI_ODS.EXTU_XYF_USER_INFO
WHERE TRUNC(update_at) < TRUNC(SYSDATE)
and   TRUNC(update_at) >= TRUNC(SYSDATE - 1)
and   flight_credit is not null 
and   (flight_credit < 350 or flight_credit > 910)","table_dq_alarm","2019/2/13","1","lily"
"25","24A highest_education字段异常日监控","alarm_flag","alarm_flag=1","select case when count(*)>0 then 1 else 0 end as alarm_flag
from BI_ODS.EXTU_XYF_USER_INFO
WHERE TRUNC(update_at) < TRUNC(SYSDATE)
and   TRUNC(update_at) >= TRUNC(SYSDATE - 1)
and   highest_education not in ('10','20','30','40','50','60','70','80','90','99')","table_dq_alarm","2019/2/13","1","lily"
"24","24A phone字段异常日监控","alarm_flag","alarm_flag=1","select case when count(*)>0 then 1 else 0 end as alarm_flag
from BI_ODS.EXTU_XYF_USER_INFO
WHERE TRUNC(update_at) < TRUNC(SYSDATE)
and   TRUNC(update_at) >= TRUNC(SYSDATE - 1)
and   length(phone) !=11","table_dq_alarm","2019/2/13","1","lily"
"23","24A source_type字段异常日监控","alarm_flag","alarm_flag=1","select case when count(*)>0 then 1 else 0 end as alarm_flag
from BI_ODS.EXTU_XYF_USER_INFO
WHERE TRUNC(update_at) < TRUNC(SYSDATE)
and   TRUNC(update_at) >= TRUNC(SYSDATE - 1)
and   source_type is null","table_dq_alarm","2019/2/13","1","lily"
"22","24A is_new_customer字段异常日监控","alarm_flag","alarm_flag=1","select case when count(*)>0 then 1 else 0 end as alarm_flag
from BI_ODS.EXTU_XYF_USER_INFO
WHERE TRUNC(update_at) < TRUNC(SYSDATE)
and   TRUNC(update_at) >= TRUNC(SYSDATE - 1)
and   is_new_customer not in (0,1)","table_dq_alarm","2019/2/13","1","lily"
"21","24A bank_card_number字段异常日监控","alarm_flag","alarm_flag=1","select case when count(*)>0 then 1 else 0 end as alarm_flag
from BI_ODS.EXTU_XYF_USER_INFO
WHERE TRUNC(update_at) < TRUNC(SYSDATE)
and   TRUNC(update_at) >= TRUNC(SYSDATE - 1)
and   (length(bank_card_number) <16 or length(bank_card_number) >19)","table_dq_alarm","2019/2/13","1","lily"
"20","24A 高中及以下学历进件占比周监控","ratio","ratio>0.5","select (cnt_edu+1)/(cnt_total+1) as ratio 
from 
(
    select sum(case when  highest_education in ('60','70','80','90','99') then 1 else 0 end) as cnt_edu
	       ,count(*) as cnt_total
    from BI_ODS.EXTU_XYF_USER_INFO
    WHERE TRUNC(update_at) < TRUNC(SYSDATE)
    and   TRUNC(update_at) >= TRUNC(SYSDATE - 7)
)tb","table_dq_alarm","2019/2/13","1","lily"
